node,community
Suspect:S00259,2
Family:FG0958,4
Suspect:S03688,4
Family:FG0598,0
Suspect:S00744,2
Safehouse:SH002,2
Family:FG0634,2
Safehouse:SH019,2
Safehouse:SH222,2
Suspect:S00172,2
Phone:9574307168,2
Vehicle:DL96AB3236,2
Bank:AC19369750,2
Family:FG0531,4
Suspect:S00068,4
Gang:G033,7
Phone:7154739678,4
Vehicle:KA75AB3426,4
Bank:AC67684996,4
Suspect:S02951,8
Family:FG0746,2
Safehouse:SH217,2
Suspect:S01067,16
Phone:9263674265,16
Vehicle:MH68AB4438,16
Bank:AC38058347,16
Family:FG0512,4
Safehouse:SH054,2
Suspect:S00016,0
Gang:G055,10
Phone:7137869475,0
Vehicle:KA52AB5386,0
Bank:AC18883684,0
Suspect:S04496,19
Family:FG0976,4
Safehouse:SH261,4
Suspect:S02602,7
Family:FG0105,4
Suspect:S00145,2
Gang:G110,12
Phone:9244431947,2
Vehicle:MH58AB8253,2
Bank:AC49910061,2
Suspect:S02338,3
Family:FG0610,2
Safehouse:SH045,2
Suspect:S00241,2
Phone:7971345904,2
Vehicle:MH72AB1430,2
Bank:AC91737913,2
Suspect:S00093,2
Family:FG0286,3
Safehouse:SH206,2
Suspect:S00034,6
Phone:8881625505,6
Vehicle:DL58AB2982,6
Bank:AC43273328,6
Family:FG0584,8
Suspect:S00270,2
Gang:G147,19
Phone:8651339677,2
Vehicle:MH75AB1672,2
Bank:AC70362235,2
Family:FG0356,2
Suspect:S03866,6
Family:FG0327,2
Safehouse:SH087,6
Suspect:S00473,0
Family:FG0247,2
Family:FG0942,2
Safehouse:SH166,2
Suspect:S00355,0
Family:FG0621,6
Suspect:S03775,2
Family:FG0109,4
Safehouse:SH282,0
Suspect:S00876,2
Family:FG0407,2
Safehouse:SH016,2
Suspect:S00067,2
Phone:9409076656,2
Vehicle:TN15AB2232,2
Bank:AC30005727,2
Suspect:S01789,0
Family:FG0067,4
Safehouse:SH056,2
Family:FG0452,2
Suspect:S00021,2
Gang:G017,21
Phone:7656448479,2
Vehicle:KL88AB7916,2
Bank:AC90048665,2
Safehouse:SH180,2
Suspect:S01387,0
Gang:G045,13
Phone:8371808827,0
Vehicle:MH62AB3187,0
Bank:AC44987861,0
Suspect:S03435,7
Family:FG0928,0
Safehouse:SH059,2
Family:FG0734,6
Safehouse:SH185,4
Suspect:S00009,4
Gang:G093,8
Phone:7536124280,4
Vehicle:MH11AB5803,4
Bank:AC94374605,4
Suspect:S01509,8
Family:FG0719,6
Safehouse:SH139,2
Suspect:S00228,2
Phone:8383459732,2
Vehicle:DL19AB2076,2
Bank:AC26937148,2
Family:FG0236,2
Family:FG0418,2
Safehouse:SH073,2
Suspect:S00907,0
Family:FG0130,0
Suspect:S04494,8
Safehouse:SH253,2
Suspect:S04562,4
Safehouse:SH177,2
Suspect:S01858,6
Gang:G137,6
Phone:8161508853,6
Vehicle:TN83AB5079,6
Bank:AC38182016,6
Suspect:S00188,4
Family:FG0728,2
Safehouse:SH108,6
Suspect:S00410,2
Phone:7481933114,2
Vehicle:TN71AB9281,2
Bank:AC37133023,2
Family:FG0216,2
Suspect:S00065,2
Gang:G086,1
Phone:7396418889,2
Vehicle:MH36AB1722,2
Bank:AC10475894,2
Suspect:S03198,4
Family:FG0262,4
Safehouse:SH070,2
Phone:7971931819,2
Vehicle:DL25AB8450,2
Bank:AC64218119,2
Suspect:S03374,3
Family:FG0490,2
Safehouse:SH133,2
Suspect:S00390,4
Gang:G141,8
Phone:9028959334,4
Vehicle:TN88AB3252,4
Bank:AC10695441,4
Suspect:S04078,23
Family:FG0325,2
Family:FG0022,2
Suspect:S01143,6
Gang:G078,8
Phone:8265374436,6
Vehicle:KA22AB1578,6
Bank:AC90213415,6
Suspect:S04052,3
Family:FG0473,2
Safehouse:SH201,2
Family:FG0422,2
Suspect:S00407,3
Phone:9053775623,3
Vehicle:KL59AB7121,3
Bank:AC65813853,3
Family:FG0182,0
Safehouse:SH186,0
Suspect:S01195,8
Phone:9938137245,8
Vehicle:DL70AB3250,8
Bank:AC53163063,8
Family:FG0781,2
Family:FG0924,0
Safehouse:SH275,2
Suspect:S03153,6
Safehouse:SH260,2
Suspect:S04729,8
Safehouse:SH281,2
Family:FG0304,2
Suspect:S00460,2
Gang:G077,8
Phone:8743874444,2
Vehicle:MH73AB4984,2
Bank:AC40314047,2
Family:FG0908,2
Safehouse:SH079,2
Suspect:S00767,2
Gang:G046,1
Phone:9948973070,2
Vehicle:KA87AB3173,2
Bank:AC97253117,2
Family:FG0898,2
Safehouse:SH269,2
Family:FG0974,0
Family:FG0351,4
Safehouse:SH154,0
Suspect:S00010,4
Gang:G059,7
Phone:9479708607,4
Vehicle:KL91AB2139,4
Bank:AC16150444,4
Safehouse:SH017,2
Suspect:S04929,0
Family:FG0930,4
Suspect:S00978,0
Family:FG0900,2
Safehouse:SH238,2
Suspect:S01847,8
Family:FG0726,2
Safehouse:SH144,2
Suspect:S02221,6
Gang:G074,6
Phone:8176170339,6
Vehicle:MH57AB4664,6
Bank:AC32725849,6
Suspect:S02316,5
Family:FG0935,0
Safehouse:SH024,2
Suspect:S04849,3
Family:FG0768,2
Safehouse:SH162,2
Suspect:S00398,4
Family:FG0224,2
Safehouse:SH288,0
Suspect:S00131,2
Gang:G104,5
Phone:8924895021,2
Vehicle:TN12AB5820,2
Bank:AC39742165,2
Family:FG0720,0
Safehouse:SH287,2
Suspect:S01098,1
Suspect:S03321,1
Gang:G030,1
Phone:9518273860,1
Vehicle:KL10AB4873,1
Bank:AC27599688,1
Family:FG0657,2
Suspect:S02911,1
Gang:G145,1
Phone:7991688533,1
Vehicle:MH77AB8695,1
Bank:AC13258266,1
Family:FG0603,4
Safehouse:SH136,2
Family:FG0079,0
Suspect:S00950,3
Family:FG0932,2
Safehouse:SH058,2
Suspect:S03701,7
Family:FG0401,2
Suspect:S03574,1
Safehouse:SH283,2
Suspect:S03223,0
Family:FG0555,2
Safehouse:SH057,2
Suspect:S00052,2
Gang:G018,8
Phone:9181106786,2
Vehicle:TN24AB2122,2
Bank:AC89864260,2
Family:FG0156,2
Safehouse:SH271,2
Suspect:S00020,2
Gang:G029,9
Phone:7594130308,2
Vehicle:DL64AB2489,2
Bank:AC16323852,2
Suspect:S01709,1
Family:FG0032,3
Family:FG0379,0
Safehouse:SH042,2
Suspect:S01272,8
Safehouse:SH156,2
Suspect:S01399,4
Phone:9503549632,4
Vehicle:MH11AB1169,4
Bank:AC72932224,4
Family:FG0811,2
Family:FG0011,2
Safehouse:SH279,2
Suspect:S00417,4
Family:FG0732,2
Safehouse:SH227,2
Suspect:S00018,2
Phone:7613628803,2
Vehicle:KA18AB5040,2
Bank:AC85345555,2
Suspect:S01713,8
Family:FG0962,4
Safehouse:SH244,2
Phone:7528353758,3
Vehicle:TN37AB6369,3
Bank:AC18186816,3
Suspect:S04527,0
Family:FG0658,2
Safehouse:SH132,2
Suspect:S03358,7
Suspect:S00096,2
Phone:9867224513,2
Vehicle:DL72AB6198,2
Bank:AC69401199,2
Suspect:S00243,4
Gang:G037,7
Phone:7026224160,4
Vehicle:KL19AB7566,4
Bank:AC19339597,4
Suspect:S02849,0
Family:FG0868,2
Safehouse:SH120,2
Suspect:S00920,6
Family:FG0322,2
Safehouse:SH173,2
Suspect:S00170,2
Gang:G124,8
Phone:9140506492,2
Vehicle:KA66AB5479,2
Bank:AC65766169,2
Suspect:S01308,19
Safehouse:SH160,2
Family:FG0856,2
Safehouse:SH215,2
Family:FG0826,2
Suspect:S00066,2
Phone:7561866144,2
Vehicle:KA21AB8239,2
Bank:AC84045292,2
Suspect:S00884,2
Family:FG0124,2
Safehouse:SH258,4
Suspect:S00027,2
Gang:G139,7
Phone:9615507143,2
Vehicle:KL20AB7126,2
Bank:AC31682744,2
Suspect:S03643,2
Family:FG0384,2
Suspect:S00754,2
Family:FG0672,2
Suspect:S00564,2
Gang:G108,7
Phone:8550904983,2
Vehicle:KA17AB7337,2
Bank:AC86286724,2
Suspect:S00445,3
Family:FG0305,6
Family:FG0433,2
Suspect:S01874,1
Family:FG0335,2
Suspect:S04559,4
Family:FG0583,2
Safehouse:SH128,2
Suspect:S00101,2
Phone:7594312071,2
Vehicle:KL30AB7275,2
Bank:AC30509175,2
Suspect:S00174,2
Family:FG0771,4
Safehouse:SH081,2
Family:FG0855,4
Safehouse:SH165,2
Family:FG0977,0
Safehouse:SH065,2
Suspect:S03803,23
Family:FG0118,0
Safehouse:SH083,2
Suspect:S00073,2
Gang:G098,0
Phone:9877229210,2
Vehicle:KL35AB3608,2
Bank:AC24508349,2
Suspect:S03317,0
Family:FG0207,2
Family:FG0432,4
Suspect:S00115,2
Phone:7087531510,2
Vehicle:DL20AB4908,2
Bank:AC26941092,2
Suspect:S04448,7
Safehouse:SH112,6
Family:FG0535,0
Safehouse:SH014,2
Suspect:S02042,4
Gang:G031,0
Phone:9045437025,4
Vehicle:DL58AB6766,4
Bank:AC45645373,4
Family:FG0003,4
Suspect:S03016,7
Family:FG0861,2
Suspect:S03101,1
Safehouse:SH091,2
Safehouse:SH254,0
Suspect:S01737,0
Gang:G088,3
Phone:7496884614,0
Vehicle:KA12AB2824,0
Bank:AC21964091,0
Suspect:S01636,7
Family:FG0827,2
Safehouse:SH029,2
Suspect:S00942,2
Gang:G050,7
Phone:8685438702,2
Vehicle:TN70AB8702,2
Bank:AC34374441,2
Suspect:S03048,1
Family:FG0334,2
Family:FG0284,0
Safehouse:SH005,2
Suspect:S00085,2
Gang:G146,16
Phone:7546696950,2
Vehicle:KL54AB7211,2
Bank:AC33357554,2
Family:FG0437,4
Safehouse:SH236,2
Suspect:S00456,2
Phone:8766685440,2
Vehicle:TN03AB9673,2
Bank:AC46875077,2
Suspect:S00032,2
Phone:8138409539,2
Vehicle:DL78AB7932,2
Bank:AC38427073,2
Suspect:S04635,1
Family:FG0538,0
Safehouse:SH039,2
Suspect:S00025,2
Phone:8948728483,2
Vehicle:TN93AB5315,2
Bank:AC77187530,2
Family:FG0415,1
Safehouse:SH089,2
Family:FG0820,2
Family:FG0931,4
Safehouse:SH077,2
Suspect:S01213,4
Phone:8400040429,4
Vehicle:MH26AB6336,4
Bank:AC40878564,4
Family:FG0731,6
Suspect:S01264,0
Gang:G103,15
Phone:7598818493,0
Vehicle:DL15AB6047,0
Bank:AC13328008,0
Suspect:S00814,2
Family:FG0552,0
Safehouse:SH199,2
Suspect:S00486,2
Family:FG0010,2
Safehouse:SH213,2
Suspect:S02404,6
Family:FG0973,2
Safehouse:SH126,2
Suspect:S00906,4
Family:FG0743,6
Safehouse:SH157,2
Suspect:S00166,0
Phone:7221670908,0
Vehicle:KL35AB9998,0
Bank:AC27584297,0
Suspect:S01324,1
Family:FG0484,2
Safehouse:SH022,0
Suspect:S01211,2
Phone:7225299266,2
Vehicle:DL23AB3589,2
Bank:AC13901068,2
Suspect:S03195,2
Family:FG0059,2
Suspect:S01066,6
Gang:G085,17
Phone:8257706935,6
Vehicle:MH18AB2999,6
Bank:AC46831833,6
Family:FG0806,0
Suspect:S00298,2
Phone:9014812671,2
Vehicle:MH79AB1086,2
Bank:AC20633503,2
Family:FG0758,2
Safehouse:SH093,2
Suspect:S00071,2
Gang:G042,19
Phone:8745377599,2
Vehicle:DL96AB3532,2
Bank:AC41774346,2
Suspect:S03830,7
Family:FG0631,2
Suspect:S03694,10
Family:FG0252,4
Suspect:S00058,2
Family:FG0975,2
Safehouse:SH216,2
Suspect:S01234,1
Phone:8273844284,1
Vehicle:MH97AB5420,1
Bank:AC92208524,1
Suspect:S01688,8
Family:FG0345,2
Safehouse:SH174,4
Family:FG0071,2
Safehouse:SH220,2
Suspect:S00041,2
Family:FG0712,2
Safehouse:SH257,2
Family:FG0316,2
Safehouse:SH182,0
Suspect:S00088,2
Gang:G022,5
Phone:8899061865,2
Vehicle:KL66AB8752,2
Bank:AC32775593,2
Suspect:S04777,0
Family:FG0469,2
Safehouse:SH226,4
Suspect:S02858,5
Family:FG0739,2
Suspect:S02748,6
Family:FG0952,2
Suspect:S00030,2
Phone:9436779490,2
Vehicle:TN11AB8962,2
Bank:AC19289546,2
Suspect:S02766,7
Family:FG0648,4
Suspect:S00117,2
Gang:G080,4
Phone:8584392711,2
Vehicle:KL78AB2876,2
Bank:AC31980274,2
Family:FG0244,4
Safehouse:SH218,0
Suspect:S00078,2
Gang:G028,3
Phone:7495389030,2
Vehicle:KA23AB5349,2
Bank:AC15134794,2
Family:FG0578,2
Safehouse:SH037,2
Suspect:S03478,8
Family:FG0260,4
Safehouse:SH090,0
Suspect:S00144,2
Phone:7365849190,2
Vehicle:KL16AB7818,2
Bank:AC91378577,2
Family:FG0450,2
Safehouse:SH262,2
Suspect:S04164,16
Family:FG0517,0
Suspect:S00885,10
Family:FG0609,2
Safehouse:SH194,6
Suspect:S00206,2
Gang:G096,7
Phone:9889775885,2
Vehicle:KA75AB7242,2
Bank:AC95704631,2
Suspect:S00077,2
Gang:G008,5
Phone:9755143093,2
Vehicle:DL52AB9785,2
Bank:AC54446182,2
Suspect:S03203,2
Family:FG0643,2
Safehouse:SH015,2
Suspect:S00667,2
Gang:G068,7
Phone:7433750626,2
Vehicle:KA69AB6633,2
Bank:AC65148727,2
Family:FG0231,4
Safehouse:SH117,2
Suspect:S00083,2
Phone:9849227494,2
Vehicle:TN93AB5920,2
Bank:AC78064830,2
Family:FG0525,4
Suspect:S00036,2
Phone:7030884438,2
Vehicle:TN91AB1964,2
Bank:AC40728046,2
Suspect:S03492,0
Safehouse:SH248,2
Safehouse:SH033,2
Suspect:S00845,2
Family:FG0978,2
Suspect:S02087,6
Suspect:S03379,0
Phone:9836126778,0
Vehicle:KL59AB5939,0
Bank:AC79926458,0
Suspect:S00734,0
Family:FG0639,2
Safehouse:SH246,0
Family:FG0166,4
Safehouse:SH245,2
Suspect:S01135,2
Phone:9596622371,2
Vehicle:TN74AB9161,2
Bank:AC41776042,2
Family:FG0994,0
Suspect:S00064,2
Gang:G014,10
Phone:9952777682,2
Vehicle:KA65AB9004,2
Bank:AC43704923,2
Suspect:S00651,2
Family:FG0828,4
Suspect:S00352,2
Phone:8342531599,2
Vehicle:KA94AB6658,2
Bank:AC63514837,2
Family:FG0008,2
Suspect:S01307,6
Family:FG0163,2
Suspect:S00039,2
Phone:9474810179,2
Vehicle:MH32AB8749,2
Bank:AC64634663,2
Family:FG0626,0
Suspect:S03133,7
Family:FG0980,3
Safehouse:SH237,2
Suspect:S02740,4
Family:FG0313,3
Suspect:S00160,6
Gang:G083,7
Phone:7391883149,6
Vehicle:MH45AB7690,6
Bank:AC54735895,6
Family:FG0697,6
Suspect:S03074,8
Safehouse:SH109,2
Family:FG0752,4
Safehouse:SH272,2
Suspect:S00074,2
Gang:G090,3
Phone:7166320906,2
Vehicle:MH29AB4269,2
Bank:AC71780854,2
Family:FG0320,2
Safehouse:SH007,2
Suspect:S02148,3
Phone:8833236259,3
Vehicle:DL18AB2893,3
Bank:AC68781037,3
Suspect:S00952,3
Family:FG0755,2
Safehouse:SH062,2
Suspect:S02585,18
Gang:G038,18
Phone:7388875847,18
Vehicle:DL85AB7629,18
Bank:AC45348929,18
Family:FG0655,4
Safehouse:SH270,2
Suspect:S01525,7
Phone:8674778305,7
Vehicle:TN41AB3334,7
Bank:AC65408139,7
Suspect:S02035,7
Family:FG0560,4
Family:FG0459,2
Safehouse:SH191,2
Suspect:S03008,13
Family:FG0899,2
Suspect:S01824,3
Gang:G003,7
Phone:7058621792,3
Vehicle:KL07AB6605,3
Bank:AC67668666,3
Suspect:S02438,5
Family:FG0628,0
Suspect:S01134,8
Family:FG0967,0
Suspect:S03088,5
Gang:G012,3
Phone:9026599529,5
Vehicle:DL26AB5012,5
Bank:AC53582517,5
Family:FG0116,2
Safehouse:SH095,2
Suspect:S02959,8
Phone:7160893735,8
Vehicle:KA94AB8907,8
Bank:AC18870325,8
Suspect:S04608,8
Suspect:S00698,0
Gang:G121,3
Phone:7730087155,0
Vehicle:DL24AB5813,0
Bank:AC23100061,0
Suspect:S01861,0
Family:FG0511,0
Suspect:S01152,0
Suspect:S03771,7
Family:FG0001,0
Safehouse:SH285,2
Suspect:S00682,3
Gang:G013,7
Phone:9958590550,3
Vehicle:TN37AB1449,3
Bank:AC61883966,3
Family:FG0929,3
Suspect:S01022,0
Safehouse:SH205,6
Family:FG0150,0
Suspect:S03263,7
Suspect:S02026,1
Phone:7475897833,1
Vehicle:TN39AB2229,1
Bank:AC45396856,1
Suspect:S00787,0
Family:FG0029,2
Suspect:S00122,2
Phone:7054340558,2
Vehicle:MH63AB2729,2
Bank:AC68186525,2
Family:FG0778,2
Family:FG0523,2
Family:FG0788,6
Suspect:S00055,2
Gang:G081,6
Phone:9427631155,2
Vehicle:DL41AB5272,2
Bank:AC37415205,2
Suspect:S02408,4
Family:FG0629,2
Suspect:S04320,19
Phone:7525913802,19
Vehicle:KL35AB5427,19
Bank:AC22142123,19
Suspect:S04885,7
Family:FG0652,4
Suspect:S00509,0
Family:FG0157,2
Safehouse:SH211,4
Family:FG0371,2
Safehouse:SH161,2
Suspect:S00943,7
Gang:G099,1
Phone:8074083133,7
Vehicle:MH02AB2998,7
Bank:AC43415162,7
Suspect:S01217,7
Safehouse:SH149,2
Suspect:S00194,2
Phone:9075362821,2
Vehicle:TN31AB7248,2
Bank:AC86762164,2
Suspect:S04152,4
Family:FG0086,4
Suspect:S00123,2
Phone:9729817240,2
Vehicle:MH91AB3506,2
Bank:AC68450095,2
Suspect:S04626,8
Family:FG0554,4
Safehouse:SH158,2
Suspect:S00130,2
Phone:8745595491,2
Vehicle:MH72AB4937,2
Bank:AC73900135,2
Suspect:S04044,2
